st_x|st_y|count
-9337643.974544635|5040358.031442067|3
-9337657.221564038|5041441.50396081|4
-9337664.679969922|5042510.745671531|3
-9337684.940117246|5043588.836032811|4
-9337691.619286692|5044042.391942601|2
-9337708.651168784|5045733.5363380145|4
-9337018.247686883|5047905.507523268|2
-9337726.573606802|5047900.918233543|4
-9337802.270860542|5056574.564851214|4
-9337779.67300391|5054352.6484676935|3
-9337757.075147279|5052213.145819379|3
-9337730.024511017|5050041.540045095|5
-9334532.594776962|5052241.878733453|3
-9330991.187816355|5052210.62799077|2
-9323670.92942128|5050088.923947088|3
-9328218.664578658|5052244.100354076|2
-9329159.982192805|5055487.322102022|4
-9328116.139327638|5054421.6821233835|2
-9324578.405910227|5056576.787467802|2
-9323766.218905399|5057403.784492622|3
-9331353.866717359|5057435.49659206|2
-9331488.451981729|5057499.365668954|2
-9331507.821573127|5057533.004540436|3
-9331500.808445206|5057565.606201633|3
-9331322.808579428|5057844.058507997|3
-9331909.017017946|5057168.466183786|3
-9331769.19973751|5057090.818326711|2
-9331840.332892125|5056967.383227503|2
-9331769.311057|5056999.0938948095|2
-9331800.814472895|5056943.970745522|2
-9331901.113334099|5056847.802348093|3
-9332414.85278411|5056566.563435744|3
-9332459.046621956|5056567.60065589|3
-9332355.85345399|5056565.081692861|2
-9332062.41527626|5056557.821156038|4
-9331766.305430748|5056779.047716909|3
-9331763.522443479|5056552.486887559|3
-9331323.365176883|5056545.078186227|4
-9331662.444345837|5056550.4124506125|2
-9331657.991566205|5056709.997221893|2
-9331647.972812034|5056850.025027523|2
-9331580.624520106|5056974.644072044|3
-9331604.780849608|5057284.494583362|3
-9331460.399470048|5057199.1402229145|3
-9331319.02371674|5055463.320575706|3
-9332921.579106202|5054411.460370739|2
-9332998.166915867|5054410.719664447|2
-9333260.769594649|5054407.164275031|4
-9333369.08345919|5054530.122251787|2
-9333368.860820208|5054656.192837388|2
-9334559.311454752|5055499.174729596|3
-9333469.827598358|5055495.470781919|2
-9333456.469259463|5054656.637272444|2
-9333456.0239815|5054529.825965628|3
-9333454.465508629|5054406.423569064|3
-9333578.920699336|5054406.867992636|2
-9333820.150035884|5054407.756839842|3
-9333454.354189137|5054298.725525929|2
-9333457.693773864|5054194.139578746|2
-9335644.231212022|5055498.433939944|3
-9334688.21942509|5056584.93706632|2
-9333464.706901783|5059556.887108594|2
-9333473.05586359|5060090.790897567|2
-9336322.723508408|5063022.006745851|2
-9335690.651439684|5063025.861853828|3
-9331312.789825257|5062246.123456608|2
-9331329.153790403|5063053.737295773|3
-9331322.029342994|5063053.737295773|2
-9330224.19652479|5060946.254630689|3
-9331866.15901399|5058725.111351322|2
-9330832.891500447|5058719.479471614|2
-9328069.496460995|5058745.267579296|3
-9324847.576438965|5058764.089977208|2
-9324847.687758455|5058719.3312642975|2
-9323778.575368878|5058694.580674339|2
-9326862.793180795|5063073.457736817|2
-9327026.432832262|5063072.419817868|2
-9327248.849174866|5063073.457736817|2
-9327352.932898758|5063073.754285112|3
-9327640.025865516|5063074.347381727|3
-9327906.190768|5063074.940478375|3
-9328094.432026932|5063074.050833415|2
-9328014.727271525|5063074.643930045|3
-9328092.4282761|5062832.811799522|2
-9328092.539595589|5062680.835785382|2
-9328261.967860576|5063073.902559262|3
-9328400.560626613|5063166.870899558|3
-9328453.660023723|5063072.419817868|3
-9328646.354062285|5063069.899158013|4
-9328771.365850447|5063069.899158013|2
-9328925.877303667|5063067.82332098|3
-9329163.099138547|5063065.747484398|2
-9329183.915883327|5063065.747484398|3
-9328926.211262139|5063208.536427082|3
-9328770.920572484|5063205.867455517|2
-9328647.355937703|5063207.053665012|2
-9328291.022247674|5063442.815694745|5
-9328293.24863749|5063614.228684201|3
-9328349.687619321|5063721.734058279|2
-9328301.5975993|5063927.25800864|3
-9328503.085877635|5064015.341041007|3
-9328373.28735137|5064073.173772023|3
-9329197.608180694|5064722.258725039|5
-9328117.363842035|5064404.161605479|2
-9328117.363842035|5064440.197256212|2
-9328118.03175898|5064585.6758805495|2
-9327972.537184514|5064531.992381679|2
-9327970.310794698|5064588.938423251|2
-9327884.149508825|5064537.1827621795|2
-9327886.598537622|5064358.486982208|2
-9327596.611264104|5064437.824534332|3
-9327610.860158926|5064359.376745532|2
-9327458.35245654|5064671.243842583|2
-9327442.767727828|5064700.7553260205|2
-9328119.033634398|5064722.258725039|3
-9327438.648906669|5065239.68943888|3
-9327048.58541093|5065372.870419177|2
-9327124.61662314|5065238.94790182|2
-9327120.275163|5065238.94790182|2
-9327227.809791109|5063802.69751644|2
-9327655.276635753|5064278.260326156|2
-9328117.141203053|5064278.705204113|2
-9328116.473286109|5064074.804956638|3
-9327989.569066606|5064090.671948651|2
-9327989.123788642|5063989.390569178|2
-9328116.36196662|5063934.968949075|2
